Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),initial_cost_estimate,Amazon Route 53,0,183,2196.00,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),initial_cost_estimate,Amazon CloudFront,0,102.04,1224.48,USD,"Data transfer out to internet (1 TB per month), Number of requests (HTTPS) (15000000 per month)"
My Estimate,US East (N. Virginia),initial_cost_estimate,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),initial_cost_estimate,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),initial_cost_estimate,Amazon EC2,1741.49,169.12,3770.93,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year Partial Upfront), Storage amount (30 GB), Instance type (t3.large)"
My Estimate,US East (N. Virginia),initial_cost_estimate,S3 Standard,3.2768,235.52,2829.52,USD,"S3 Standard storage (10 TB per month), S3 Standard Average Object Size (16 MB)"
My Estimate,US East (N. Virginia),initial_cost_estimate,Data Transfer,0,184.32,2211.84,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Internet (2 TB per month)"
My Estimate,US East (N. Virginia),initial_cost_estimate,Application Load Balancer,0,32.81,393.72,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),initial_cost_estimate,Classic Load Balancer,0,34.629999999999995,415.56,USD,"Number of Classic Load Balancers (1), Processed bytes per CLB (2 TB per month)"
My Estimate,US East (N. Virginia),initial_cost_estimate,Amazon RDS for PostgreSQL,0,5376,64512.00,USD,"Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (3 TB per month), Nodes (1), Instance Type (db.m6gd.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ (readable standbys)), Pricing Model (OnDemand), Additional backup storage (9 TB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
